Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
0,26219,RU000A0JWM07,SU26219RMFS4,19,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,20,7.75,38.64,0.0
0,26219,RU000A0JWM07,SU26219RMFS4,21,7.75,38.64,1000.0
2003-09-17 00:00:00,46011,RU0002867854,SU46011RMFS1,1,0.0,0.0,0.0
2004-09-15 00:00:00,46011,RU0002867854,SU46011RMFS1,2,0.0,0.0,0.0
2005-09-14 00:00:00,46011,RU0002867854,SU46011RMFS1,3,0.0,0.0,0.0
2006-09-13 00:00:00,46011,RU0002867854,SU46011RMFS1,4,0.0,0.0,0.0
2007-12-09 00:00:00,46011,RU0002867854,SU46011RMFS1,5,0.0,0.0,0.0
2008-10-09 00:00:00,46011,RU0002867854,SU46011RMFS1,6,0.0,0.0,0.0
2009-09-09 00:00:00,46011,RU0002867854,SU46011RMFS1,7,0.0,0.0,0.0
2010-08-09 00:00:00,46011,RU0002867854,SU46011RMFS1,8,0.0,0.0,0.0
2011-07-09 00:00:00,46011,RU0002867854,SU46011RMFS1,9,0.0,0.0,0.0
2012-05-09 00:00:00,46011,RU0002867854,SU46011RMFS1,10,0.0,0.0,0.0
2013-04-09 00:00:00,46011,RU0002867854,SU46011RMFS1,11,10.0,99.73,0.0
2014-03-09 00:00:00,46011,RU0002867854,SU46011RMFS1,12,10.0,99.73,0.0
